Position,Player,WS
 SF,Royce O'Neale,3.233333333333333
 SF,Rodney Hood,3.0
 SF,Rudy Gay,2.92
 SF,Joe Harris,2.8200000000000003
 SF,Josh Hart,2.733333333333333
 SF,Doug McDermott,2.7199999999999998
 SF,Andrew Wiggins,2.58
 SF,Thabo Sefolosha,2.52
 SF,DeMarre Carroll,2.46
 SF,Rondae Hollis-Jefferson,2.46
 SF,Michael Kidd-Gilchrist,2.4
 SF,Tony Snell,2.3999999999999995
 SF,Kelly Oubre Jr.,2.38
 SF,Brandon Ingram,2.35
 SF,Dorian Finney-Smith,2.325
 SF,Darius Miller,2.3
 SF,Wilson Chandler,2.2750000000000004
 SF,Miles Bridges,2.25
 SF,Justin Holiday,2.18
 SF,Derrick Jones Jr.,2.075
 SF,Reggie Bullock,2.0
 SF,Jared Dudley,1.94
 SF,Torrey Craig,1.8666666666666665
 SF,Zion Williamson,1.8
 SF,Cameron Johnson,1.8
 SF,Justin Jackson,1.7333333333333334
 SF,Josh Okogie,1.7000000000000002
 SF,Terrance Ferguson,1.5666666666666667
 SF,Justise Winslow,1.56
 SF,Glenn Robinson III,1.48
 SF,Troy Brown Jr.,1.4000000000000001
 SF,Cedi Osman,1.3333333333333333
 SF,Solomon Hill,1.3000000000000003
 SF,Chandler Parsons,1.1
 SF,Rodions Kurucs,1.05
 SF,Patrick McCaw,1.0499999999999998
 SF,Kenrich Williams,1.0
 SF,Moritz Wagner,1.0
 SF,Cody Martin,1.0
 SF,Ben McLemore,0.8800000000000001
 SF,Alfonzo McKinnie,0.8000000000000002
 SF,Isaac Bonga,0.7999999999999999
 SF,Jake Layman,0.75
 SF,Keita Bates-Diop,0.7000000000000001
 SF,Georges Niang,0.675
 SF,Chandler Hutchison,0.6499999999999999
 SF,Stanley Johnson,0.6399999999999999
 SF,Abdel Nader,0.6333333333333334
 SF,Mario Hezonja,0.6199999999999999
 SF,Nassir Little,0.6
 SF,JaKarr Sampson,0.55
 SF,Caleb Martin,0.5
 SF,Darius Bazley,0.4
 SF,Bruno Caboclo,0.32
 SF,Norvel Pelle,0.3
 SF,Keldon Johnson,0.2
 SF,Elie Okobo,0.2
 SF,Vlatko Cancar,0.1
 SF,Thanasis Antetokounmpo,0.1
 SF,De'Andre Hunter,0.1
 SF,KZ Okpala,0.1
 SF,Juwan Morgan,0.1
 SF,Isaiah Roby,0.0
 SF,Stanton Kidd,-0.1
 SF,Ignas Brazdeikis,-0.1
 SF,Sekou Doumbouya,-0.3
 SG,James Harden,14.080000000000002
 SG,Paul George,8.2
 SG,Luka Doncic,8.1
 SG,Klay Thompson,6.325
 SG,Bradley Beal,6.160000000000001
 SG,CJ McCollum,5.8999999999999995
 SG,Lou Williams,5.3
 SG,Donovan Mitchell,5.133333333333333
 SG,Joe Ingles,5.04
 SG,Jrue Holiday,4.74
 SG,Kentavious Caldwell-Pope,4.58
 SG,Shai Gilgeous-Alexander,4.4
 SG,Danny Green,3.9599999999999995
 SG,Victor Oladipo,3.900000000000001
 SG,Evan Fournier,3.88
 SG,Andre Iguodala,3.8199999999999994
 SG,Gary Harris,3.78
 SG,Jeremy Lamb,3.66
 SG,Fred VanVleet,3.525
 SG,Josh Richardson,3.5200000000000005
 SG,Nicolas Batum,3.4800000000000004
 SG,Jaylen Brown,3.375
 SG,Buddy Hield,3.275
 SG,Andre Roberson,3.266666666666667
 SG,Seth Curry,3.175
 SG,Devin Booker,3.16
 SG,Landry Shamet,3.1500000000000004
 SG,Kyle Korver,3.1399999999999997
 SG,Tim Hardaway Jr.,3.06
 SG,Wesley Matthews,3.04
 SG,Terence Davis,3.0
 SG,Terrence Ross,2.92
 SG,Tyler Johnson,2.88
 SG,Eric Gordon,2.7800000000000002
 SG,Courtney Lee,2.62
 SG,Donte DiVincenzo,2.55
 SG,Langston Galloway,2.5
 SG,Duncan Robinson,2.45
 SG,Bogdan Bogdanovic,2.4
 SG,Kendrick Nunn,2.4
 SG,Luke Kennard,2.3333333333333335
 SG,Norman Powell,2.3200000000000003
 SG,Wayne Ellington,2.32
 SG,E'Twaun Moore,2.2800000000000002
 SG,Marco Belinelli,2.1
 SG,Garrett Temple,2.08
 SG,Pat Connaughton,1.9600000000000002
 SG,Kent Bazemore,1.9599999999999995
 SG,Evan Turner,1.9
 SG,Matisse Thybulle,1.9
 SG,Bryn Forbes,1.875
 SG,Bruce Brown,1.8
 SG,Caris LeVert,1.75
 SG,Alec Burks,1.72
 SG,D'Angelo Russell,1.7
 SG,Rodney McGruder,1.5999999999999999
 SG,Gerald Green,1.5750000000000002
 SG,Malik Beasley,1.575
 SG,Kevin Huerter,1.55
 SG,David Nwaba,1.3499999999999999
 SG,Sterling Brown,1.2666666666666666
 SG,Alex Caruso,1.2333333333333334
 SG,Denzel Valentine,1.2
 SG,Furkan Korkmaz,1.1333333333333333
 SG,Iman Shumpert,1.02
 SG,Dion Waiters,1.0
 SG,Shake Milton,1.0
 SG,Javonte Green,1.0
 SG,Damyean Dotson,1.0
 SG,Troy Daniels,0.9600000000000002
 SG,Damion Lee,0.9333333333333332
 SG,Matt Thomas,0.9
 SG,De'Anthony Melton,0.9
 SG,Tyler Herro,0.9
 SG,Dillon Brooks,0.7333333333333334
 SG,Treveon Graham,0.7250000000000001
 SG,Gary Trent Jr.,0.7000000000000001
 SG,Luguentz Dort,0.7
 SG,Ryan Broekhoff,0.6000000000000001
 SG,Hamidou Diallo,0.5
 SG,Jordan McRae,0.45
 SG,Grayson Allen,0.35
 SG,Malik Monk,0.3333333333333333
 SG,Kevin Porter Jr.,0.3
 SG,Terance Mann,0.3
 SG,DeAndre' Bembry,0.25
 SG,Jaylen Nowell,0.2
 SG,Justin James,0.2
 SG,Anfernee Simons,0.2
 SG,Romeo Langford,0.2
 SG,Malcolm Miller,0.16666666666666666
 SG,Marko Guduric,0.1
 SG,Admiral Schofield,0.1
 SG,Dwayne Bacon,0.09999999999999994
 SG,Jerome Robinson,0.05
 SG,Tyrone Wallace,0.033333333333333326
 SG,Zhaire Smith,0.0
 SG,Khyri Thomas,0.0
 SG,Max Strus,0.0
 SG,Rayjon Tucker,0.0
 SG,Talen Horton-Tucker,0.0
 SG,Ty Jerome,0.0
 SG,Deonte Burton,-0.09999999999999999
 SG,Jarrett Culver,-0.1
 SG,Miye Oni,-0.1
 SG,Jacob Evans,-0.3
 SG,Theo Pinson,-0.3
 SG,Cam Reddish,-0.4
 SG,Nickeil Alexander-Walker,-0.4
 SG,RJ Barrett,-0.5
 SG,Josh Jackson,-0.6333333333333333
 SG,Jordan Poole,-1.2
